,Open Time,Open,High,Low,Close,Volume,Close Time,Quote Asset Volume,Number of Trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore,average,normalized_average
96,2024-02-11 16:00:00,2511.32,2510.495,2510.495,2509.67,85.32320000,2024-02-11 16:59:59.999,214258.43571700,1166,57.01560000,143382.11376700,0,2510.495,1.0515173314317607
97,2024-02-11 17:00:00,2508.54,2509.85,2509.85,2511.16,113.66810000,2024-02-11 17:59:59.999,285923.85551300,1389,90.36380000,227411.03668100,0,2509.85,1.0512471740808105
98,2024-02-11 18:00:00,2511.17,2512.8,2496.81,2508.43,97.08260000,2024-02-11 18:59:59.999,243185.22794000,1198,80.31190000,201128.82041500,0,2507.3025000000002,1.0501801572567093
99,2024-02-11 19:00:00,2507.42,2514.1800000000003,2514.1800000000003,2520.94,74.87980000,2024-02-11 19:59:59.999,187845.75572800,868,58.85920000,147765.32703500,0,2514.1800000000003,1.0530607885453285
100,2024-02-11 20:00:00,2507.74,2514.3,2496.73,2498.31,93.92670000,2024-02-11 20:59:59.999,235392.24145400,1100,76.83670000,192570.87110900,0,2504.27,1.0489099988586377
101,2024-02-11 21:00:00,2498.38,2504.69,2493.53,2503.91,91.01910000,2024-02-11 21:59:59.999,227474.64254600,1062,79.22630000,198005.04759200,0,2500.1275,1.0471749185077681
102,2024-02-11 22:00:00,2503.92,2502.05,2443.2,2500.18,86.71100000,2024-02-11 22:59:59.999,217151.58234100,950,71.03400000,177917.55408300,0,2487.3375,1.0418178448354396
103,2024-02-11 23:00:00,2500.19,2507.07,2474.1,2506.5,92.57560000,2024-02-11 23:59:59.999,231611.34919900,1078,83.03770000,207750.05828500,0,2496.965,1.0458503097909004
104,2024-02-12 00:00:00,2505.91,2519.5,2505.07,2515.25,101.40160000,2024-02-12 00:59:59.999,254784.82526600,1202,76.00950000,190923.45597700,0,2511.4325,1.051910002000002
105,2024-02-12 01:00:00,2514.83,2515.9,2506.01,2510.2,113.29030000,2024-02-12 01:59:59.999,284413.37610600,1314,87.86790000,220571.34252300,0,2511.7349999999997,1.0520367037033544
106,2024-02-12 02:00:00,2510.16,2517.86,2495.1,2499.06,96.66440000,2024-02-12 02:59:59.999,242442.11563000,1055,68.33530000,171392.53149600,0,2505.545,1.0494440308314459
107,2024-02-12 03:00:00,2499.03,2503.94,2497.18,2501.44,68.34780000,2024-02-12 03:59:59.999,170898.73623100,815,61.96050000,154925.44438900,0,2500.3975,1.0472880076314217
108,2024-02-12 04:00:00,2500.01,2501.28,2494.0,2494.68,55.33460000,2024-02-12 04:59:59.999,138217.78035700,637,48.14310000,120256.47736300,0,2497.4925000000003,1.046071252430631
109,2024-02-12 05:00:00,2494.89,2500.13,2494.0,2495.64,55.17540000,2024-02-12 05:59:59.999,137777.84064900,632,47.11890000,117659.99492500,0,2496.165,1.045515230906001
110,2024-02-12 06:00:00,2494.21,2498.32,2477.15,2484.83,96.52010000,2024-02-12 06:59:59.999,240419.96631500,1124,78.28510000,194966.82840000,0,2488.6275,1.04235815953734
111,2024-02-12 07:00:00,2484.66,2504.81,2493.465,2502.27,132.86430000,2024-02-12 07:59:59.999,331316.64705400,1477,119.47170000,297998.58571700,0,2496.30125,1.0455722990285854
112,2024-02-12 08:00:00,2502.28,2505.39,2493.26,2494.5,131.23900000,2024-02-12 08:59:59.999,328004.47065600,1245,61.00290000,152480.19097600,0,2498.8575,1.0466429807779905
