,Open Time,Open,High,Low,Close,Volume,Close Time,Quote Asset Volume,Number of Trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore,average,normalized_average,ma5,ma15
289,2024/2/19 17:00,2906.24,2916.71,2916.71,1.221659918,223.3971,00:00.0,651513.3408,2808,176.6307,519310.9813,0,2916.71,1.221659918,1.217812584,1.216738028
290,2024/2/19 18:00,2926.91,3020.95,2926.12,1.236277734,180.4976,00:00.0,530683.6543,2374,143.3198,421367.9619,0,2951.61,1.236277734,1.218129234,1.217868361
291,2024/2/19 19:00,2932.1,2935.88,2920.22,1.227502856,144.0468,00:00.0,421748.062,1980,112.7745,330136.8091,0,2930.66,1.227502856,1.221821594,1.219744942
292,2024/2/19 20:00,2934.36,2939.69,2927.01,1.229393957,124.9795,00:00.0,366650.2897,1674,99.5212,291966.9588,0,2935.175,1.229393957,1.224361491,1.220887631
293,2024/2/19 21:00,2938.86,2959.61,2932.62,1.234462026,149.0564,00:00.0,438941.6437,2010,119.2104,351054.8678,0,2947.275,1.234462026,1.226908091,1.221926026
294,2024/2/19 22:00,2956.29,2995.64,2954.33,1.243560464,153.62,00:00.0,455852.8885,2132,125.1273,371242.8223,0,2968.9975,1.243560464,1.229859298,1.222846307
295,2024/2/19 23:00,2970,2970,2956.13,1.239623288,168.2866,00:00.0,496205.455,2215,123.3936,364101.4785,0,2959.5975,1.239623288,1.234239408,1.224071648
296,2024/2/20 0:00,2942.19,2954.52,2929.32,1.232463071,159.8146,00:00.0,470399.7184,2065,131.2932,386373.6771,0,2942.5025,1.232463071,1.234908518,1.22531158
297,2024/2/20 1:00,2944.78,2944.91,2904.65,1.226221179,183.3963,00:00.0,536287.8317,2304,133.8834,391385.2282,0,2927.6,1.226221179,1.235900561,1.226193535
298,2024/2/20 2:00,2915.82,2929.03,2915.61,1.224031648,148.5399,00:00.0,433892.9541,1923,124.1798,362713.4382,0,2922.3725,1.224031648,1.235266006,1.226676049
299,2024/2/20 3:00,2928.93,2930.85,2910.41,1.223113323,117.0089,00:00.0,341767.7828,1527,80.3484,234610.238,0,2920.18,1.223113323,1.23317993,1.226950604
300,2024/2/20 4:00,2910.41,2926.58,2903.45,1.221409656,156.5778,00:00.0,456210.632,1949,135.9897,396208.0647,0,2916.1125,1.221409656,1.229090502,1.227153048
301,2024/2/20 5:00,2923.87,2934.8,2922.65,1.225852593,107.8374,00:00.0,315786.8545,1332,84.2819,246759.1152,0,2926.72,1.225852593,1.225447775,1.227392629
302,2024/2/20 6:00,2925.61,2935.09,2925.61,1.227230604,126.302,00:00.0,370287.4784,1566,77.6243,227530.3066,0,2930.01,1.227230604,1.22412568,1.228129244
303,2024/2/20 7:00,2933.69,2934.73,2916.27,1.225660969,112.3079,00:00.0,328604.1283,1438,80.7684,236241.5033,0,2926.2625,1.225660969,1.224327565,1.228833887
304,2024/2/20 8:00,2920.21,2924.22,2912.95,1.222308086,120.1826,00:00.0,350878.7995,1437,57.5344,167894.2818,0,2918.2575,1.222308086,1.224653429,1.229230886
305,2024/2/20 9:00,2913.44,2920.99,2900.61,1.217050489,128.8702,00:00.0,373642.1212,1784,103.3715,299705.3316,0,2905.705,1.217050489,1.224492382,1.229274097
306,2024/2/20 10:00,2887.33,2921.86,2901.905,1.217548395,108.0755,00:00.0,314261.2019,1554,81.2083,236011.3759,0,2906.89375,1.217548395,1.223620548,1.227992281
307,2024/2/20 11:00,2915.23,2937.81,2915.23,1.225477723,123.7695,00:00.0,362623.2878,1711,103.1078,302101.4935,0,2925.825,1.225477723,1.221959709,1.22732865
308,2024/2/20 12:00,2935.25,2953.9,2931.8,1.230655739,127.3383,00:00.0,374348.6354,1778,88.692,260792.9746,0,2938.1875,1.230655739,1.221609133,1.227067568
